Sample_Code,Date,Treatment,Fertilization,Mowing,Ditch,Block,Moisture (%),Temp (degC),pH,SoilC_%,SoilN_%,NH4_mgL-1,NO3_mgL-1,NH4_ugpergsoil,NO3_ugpergsoil
ECU_WRC_033,26-Sep-15,C,0,0,1,1,19.4,21.60,4.99,5.27,0.3,0.254,0.078,3.109,0.949
ECU_WRC_034,26-Sep-15,F,1,0,1,1,19.9,21.93,4.98,4.08,0.24,0.332,0.099,4.125,1.229
ECU_WRC_035,26-Sep-15,M,0,1,1,1,19.9,22.50,5.41,4.72,0.27,0.238,0.053,2.894,0.647
ECU_WRC_036,26-Sep-15,MF,1,1,1,1,19.4,22.43,5.52,3.72,0.24,0.249,0.058,3.068,0.714
ECU_WRC_037,26-Sep-15,C,0,0,0,2,19.2,21.93,4.46,4.16,0.2,0.161,0.069,1.95,0.839
ECU_WRC_038,26-Sep-15,F,1,0,0,2,19.4,21.90,4.50,4.31,0.21,0.129,0.026,1.58,0.318
ECU_WRC_039,26-Sep-15,M,0,1,0,2,19.2,22.87,4.76,3.74,0.23,0.112,0.089,1.375,1.101
ECU_WRC_040,26-Sep-15,MF,1,1,0,2,19.6,23.47,5.23,3.19,0.16,0.148,0.063,1.815,0.771
ECU_WRC_041,26-Sep-15,C,0,0,1,3,19.8,22.03,4.93,3.37,0.2,0.184,0.115,2.276,1.421
ECU_WRC_042,26-Sep-15,F,1,0,1,3,19.6,22.20,4.72,6.42,0.35,0.194,0.073,2.401,0.908
ECU_WRC_043,26-Sep-15,M,0,1,1,3,19.3,23.73,5.48,3.15,0.19,0.187,0.074,2.263,0.891
ECU_WRC_044,26-Sep-15,MF,1,1,1,3,19.4,22.67,5.21,4.43,0.24,0.184,0.005,2.255,0.055
ECU_WRC_045,26-Sep-15,C,0,0,0,4,19.1,22.13,5.11,4.48,0.22,0.236,0.016,2.84,0.198
ECU_WRC_046,26-Sep-15,F,1,0,0,4,19.2,21.93,4.82,3.22,0.18,0.224,0.032,2.75,0.388
ECU_WRC_047,26-Sep-15,M,0,1,0,4,20,23.87,5.04,3.01,0.16,0.228,0.042,2.853,0.526
ECU_WRC_048,26-Sep-15,MF,1,1,0,4,19.3,23.20,5.27,4.58,0.24,0.151,0.049,1.836,0.592
ECU_WRC_049,26-Sep-15,C,0,0,1,5,19.1,22.43,5.03,2.98,0.18,0.17,0.009,2.074,0.112
ECU_WRC_050,26-Sep-15,F,1,0,1,5,19.3,21.83,4.76,4.72,0.26,0.197,0.044,2.407,0.537
ECU_WRC_051,26-Sep-15,M,0,1,1,5,19.3,23.20,5.24,3.52,0.19,0.136,0.021,1.661,0.261
ECU_WRC_052,26-Sep-15,MF,1,1,1,5,19.2,22.40,5.12,4.63,0.22,0.242,0.019,2.921,0.231
ECU_WRC_053,26-Sep-15,C,0,0,0,6,19.2,21.83,4.63,4.29,0.23,0.291,0.005,3.546,0.055
ECU_WRC_054,26-Sep-15,F,1,0,0,6,19.3,22.10,4.79,3.72,0.2,0.308,0.051,3.742,0.622
ECU_WRC_055,26-Sep-15,M,0,1,0,6,19.3,22.97,4.96,4.44,0.24,0.324,0.024,3.907,0.292
ECU_WRC_056,26-Sep-15,MF,1,1,0,6,19.3,22.63,5.27,3.92,0.22,0.197,0.042,2.428,0.52
ECU_WRC_057,26-Sep-15,C,0,0,1,7,19.4,22.10,4.94,3.16,0.2,0.154,0.05,1.881,0.614
ECU_WRC_058,26-Sep-15,F,1,0,1,7,19.4,21.77,4.70,4.1,0.24,0.185,0.037,2.247,0.445
ECU_WRC_059,26-Sep-15,M,0,1,1,7,19.2,22.87,5.21,2.77,0.17,0.143,0.005,1.75,0.055
ECU_WRC_060,26-Sep-15,MF,1,1,1,7,19.7,22.63,5.38,3.14,0.18,0.203,0.005,2.512,0.056
ECU_WRC_061,26-Sep-15,C,0,0,0,8,19.8,22.43,5.11,3.33,0.21,0.241,0.005,2.987,0.056
ECU_WRC_062,26-Sep-15,F,1,0,0,8,19.8,22.43,4.92,3.25,0.19,0.253,0.005,3.101,0.055
ECU_WRC_063,26-Sep-15,M,0,1,0,8,19.4,23.17,5.05,3.57,0.19,0.3,0.018,3.685,0.223
ECU_WRC_064,26-Sep-15,MF,1,1,0,8,19.9,21.97,5.37,3.79,0.22,0.353,0.042,4.328,0.513